month,country
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
April,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
August,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
December,australia
